Value,size,SatCent,SatSides,SatSides-SatCentre
0.01,103,116,119,3
0.01,104,131,147,16
0.01,102,137,139,2
0.01,101,181,159,-22
0.01,100,162,156,-6
0.01,100,184,178,-6
0.01,99,177,153,-24
0.01,109,173,156,-17
0.01,108,155,154,-1
0.01,106,180,162,-18
0.01,111,155,150,-5
0.01,107,154,151,-3
0.01,110,161,156,-5
0.01,105,165,162,-3
0.02,134,110,98,-12
0.02,135,89,111,22
0.02,131,148,147,-1
0.02,131,169,163,-6
0.02,130,193,180,-13
0.02,128,197,186,-11
0.02,137,130,118,-12
0.02,133,162,158,-4
0.02,141,139,146,7
0.02,140,181,181,0
0.02,134,140,138,-2
0.02,135,150,146,-4
0.02,142,167,171,4
0.02,140,172,161,-11
0.02,137,146,153,7
0.02,137,143,145,2
0.05,94,15,42,27
0.05,93,45,46,1
0.05,92,42,50,8
0.05,90,90,73,-17
0.05,90,79,81,2
0.05,89,81,80,-1
0.05,86,97,82,-15
0.05,95,112,89,-23
0.05,95,68,59,-9
0.05,93,88,77,-11
0.05,94,61,55,-6
0.05,94,81,83,2
0.05,89,74,64,-10
0.05,96,62,75,13
0.05,92,83,75,-8
0.1,130,39,55,16
0.1,129,57,62,5
0.1,127,67,70,3
0.1,126,82,77,-5
0.1,124,98,83,-15
0.1,123,93,87,-6
0.1,128,69,63,-6
0.1,132,79,76,-3
0.1,123,56,56,0
0.1,124,80,66,-14
0.1,129,75,71,-4
0.1,129,74,71,-3
0.1,131,71,67,-4
0.1,127,70,69,-1
0.1,124,79,71,-8
0.1,128,72,71,-1
0.1,126,67,66,-1
0.1,130,71,66,-5
0.2,115,89,86,-3
0.2,115,97,92,-5
0.2,114,93,86,-7
0.2,114,115,113,-2
0.2,113,101,97,-4
0.2,111,124,101,-23
0.2,110,87,84,-3
0.2,116,81,78,-3
0.2,112,90,85,-5
0.2,109,88,83,-5
0.2,115,84,74,-10
0.2,110,83,82,-1
0.5,148,77,70,-7
0.5,146,83,76,-7
0.5,145,81,74,-7
0.5,143,80,78,-2
0.5,141,67,69,2
0.5,145,67,62,-5
0.5,148,74,73,-1
0.5,143,61,58,-3
0.5,146,60,62,2
0.5,147,73,72,-1
0.5,143,59,59,0
0.5,146,80,79,-1
0.5,146,68,65,-3
1,127,98,114,16
1,126,91,111,20
1,124,90,113,23
1,123,84,110,26
1,123,72,107,35
1,123,65,100,35
1,119,63,103,40
1,123,63,93,30
1,118,80,108,28
1,123,57,99,42
1,124,80,112,32
1,125,78,103,25
1,120,77,103,26
1,123,68,101,33
2,156,92,117,25
2,154,82,125,43
2,153,81,110,29
2,153,72,107,35
2,153,59,84,25
2,154,76,103,27
2,147,71,100,29
2,151,82,114,32
2,149,80,111,31
2,151,68,102,34
2,156,88,113,25
2,152,62,91,29
2,151,71,111,40
